"Year","Type","Scaled Consumption","Consumption"
"1996","Total Renewable Energy Consumption","0.077531"," 4.4815"
"1997","Total Renewable Energy Consumption","0.071740"," 4.4634"
"1998","Total Renewable Energy Consumption","0.076324"," 4.1727"
"1999","Total Renewable Energy Consumption","0.080760"," 4.2008"
"2000","Total Renewable Energy Consumption","0.081311"," 4.0956"
"2001","Total Renewable Energy Consumption","0.085037"," 3.5119"
"2002","Total Renewable Energy Consumption","0.085225"," 3.7662"
"2003","Total Renewable Energy Consumption","0.083080"," 3.9159"
"2004","Total Renewable Energy Consumption","0.083877"," 4.1055"
"2005","Total Renewable Energy Consumption","0.083188"," 4.2329"
"2006","Total Renewable Energy Consumption","0.084482"," 4.4803"
"2007","Total Renewable Energy Consumption","0.085470"," 4.5949"
"2008","Total Renewable Energy Consumption","0.087189"," 5.0677"
"2009","Total Renewable Energy Consumption","0.091188"," 5.2925"
"2010","Total Renewable Energy Consumption","0.088651"," 5.8957"
"2011","Total Renewable Energy Consumption","0.087996"," 6.3081"
"2012","Total Renewable Energy Consumption","0.087937"," 6.1503"
"2013","Total Renewable Energy Consumption","0.087471"," 6.5870"
"2014","Total Renewable Energy Consumption","0.087456"," 6.7990"
"2015","Total Renewable Energy Consumption","0.088236"," 6.8295"
"2016","Total Renewable Energy Consumption","0.089558"," 7.1197"
"2017","Total Renewable Energy Consumption","0.089657"," 7.3835"
"2018","Total Renewable Energy Consumption","0.086629"," 7.5346"
"2019","Total Renewable Energy Consumption","0.087490"," 7.5938"
"2020","Total Renewable Energy Consumption","0.092863"," 7.3005"
"2021","Total Renewable Energy Consumption","0.087089"," 7.6443"
"2022","Total Renewable Energy Consumption","0.085040"," 8.0909"
